集会时间,集会名称,集会口号,集会描述,来源,事件时间,详情描述,激烈程度,事件来源,prefecture_name,district,地址,longitude,latitude,人数,角色
2019-10-01 18:08:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,示威者闯入荃湾政府合署，并投掷燃烧弹，又破坏天花、水牌及告示牌等。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,香港特别行政区荃湾区荃湾政府合署荃锦中心商场,114.120283,22.37179,0,示威暴动者
2019-10-01 14:52:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,荃湾中旅社遭破坏，大门被撬开后，店内玻璃、屏幕均碎裂。 现场示威者已全部散去，有强烈乙酸-3-甲基丁酯味，玻璃碎片散落一地，部分柜位的玻璃亦被打破，纸张散落一地。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,中旅社,114.172756,22.32045,0,示威暴动者
2019-10-01 16:26:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,报称受伤的躺地伤者，现由急救员接手治疗。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,大河道祥兴记小笼包,114.11884,22.368505,0,警方
2019-10-01 12:57:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,本来在天桥上聚集的民众，逐渐走入沙咀道球场内，约十名身穿黑衣的男士在球场内踢足球,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,沙咀道球场,114.165619,22.277395,0,市民
2019-10-01 14:25:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,屯_的示威__，有市民（存疑）_疑中了腐液。,,https://www.hk01.com    （搜索：10.1新界__）,新界,屯门区,-未知,114.134132,22.49972,0,市民
2019-10-01 16:57:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,示威者向警方向投掷燃烧弹及砖头，并举伞列阵向前。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,大河道,114.11884,22.368505,0,示威暴动者
2019-10-01 16:28:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,马头坝道有至少60名警员增援，已举红旗。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,马头坝道,114.197723,22.38335,0,警方
2019-10-01 13:21:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,沙田有人拆走_子山隧道公路的__，_堆成路障，封住溱岸8__出_回行__。,,https://www.hk01.com    （搜索：10.1新界__）,新界,沙田区,沙田溱岸8_、_子山隧道公路,114.165619,22.277395,0,示威暴动者
2019-10-01 16:35:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,杨屋道示威者向后退，防暴向前推进并发放2枚催泪弹。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,杨屋道,114.120383,22.365683,0,警方
2019-10-01 14:45:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,荃湾示威者_据千色店外的青山公路，交通受阻。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,青山公路-千色店,114.168228,22.32174,0,示威暴动者
2019-10-01 15:04:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,荃湾青山公路千色店外施放了催泪弹，市民（示威者）向港铁方向后退。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,青山公路-千色店,114.187028,22.275543,0,示威暴动者
2019-10-01 16:08:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,有多名示威者被拘捕，被防暴警察制服在地上。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,-未知,114.163825,22.276284,0,警方
2019-10-01 13:52:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,荃湾示威者高叫「中旅社见」，大部分人离开球场。 有示威者拆附近栏杆。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,沙咀道球场,114.167446,22.276764,0,示威暴动者
2019-10-01 12:53:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,近百市民聚集于沙咀道游乐场对出的天桥，有人向正在过马路的警察举中指，高叫「光复香港、时代革命」。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,沙咀道球场,114.168228,22.32174,0,市民
2019-10-01 16:24:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,一名示威者在大河道祥兴记小笼包外倒地，一度挣扎。现场所见，心口位置大量渗血，自称中枪。 现场有防暴警为该伤者急救。 16:46 警方消息指，确认有一名受伤示威者，是中了实弹受伤，送住玛嘉烈医院接受治疗。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,大河道-祥兴记小笼包,114.127697,22.349421,0,示威暴动者
2019-10-01 16:02:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,荃湾警员上前驱散示威者，示威者向后退，多人被拘捕。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,-未知,,,0,警方
2019-10-01 19:10:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,中国移动店铺亦被示威者破坏。附近名创优品亦被拆烂，部分货品散落一地。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,-未知,,,0,示威暴动者
2019-10-01 14:40:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,警方警告大批暴力示威者於屯_大_堂外破_公物，投__物及_置路障，又____警_人_。警方__使用相_武力_散示威者，警告示威者立即停止_法行_及__。,,https://www.hk01.com    （搜索：10.1新界__）,新界,屯门区,屯_大_堂,114.127697,22.349421,0,警方
2019-10-01 13:05:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,荃湾沙咀道游乐场内已聚集过百名身穿黑衣的市民，不时高呼口号，与通往荃新天地商场天桥的民众互相呼应。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,沙咀道球场,114.189409,22.278213,0,市民
2019-10-01 18:53:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,二阪坊有示威者聚集，美心集团旗下的东海堂，有示威者利用路牌、_等硬物将_面破璃打爆。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,二阪坊,114.120383,22.365683,0,示威暴动者
2019-10-01 18:43:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,荃湾有一批示威者走到二陂坊，毁坏一间麻雀馆，由外面可见，店内被纵火，铁闸被喷上「黑社会」大字，现场示威者不断向麻雀馆掷砖头，未知里面是否有人。 附近一家东海堂亦被毁，玻璃窗破碎。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,-未知（不知道从哪去的）,114.241112,22.264943,0,示威暴动者
2019-10-01 13:12:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,屯_大_堂有大批防暴警_守，_百名市民包_防暴警，大叫「721唔_人，831打死人」。,,https://www.hk01.com    （搜索：10.1新界__）,新界,屯门区,屯_大_堂,114.114605,22.393748,0,示威暴动者
2019-10-01 13:55:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,荃湾大批市民涌出沙咀道马路。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,沙咀道球场,114.168228,22.32174,0,市民
2019-10-01 14:18:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,沙田_行_伍至少兵分四路，一行人在乙明_出，一行人前往，河_岸源禾路，一行人在沙田正街商_群外_路障，另有部份人折返大_方向,,https://www.hk01.com    （搜索：10.1新界__）,新界,沙田区,-未知,,,0,示威暴动者
2019-10-01 15:49:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,示威者于荃湾杨屋道筑路障，防暴警约百多米外对峙，示威者不断敲打路障。 另杨屋道有千名示威者。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,杨屋道,114.11884,22.368505,0,示威暴动者
2019-10-01 16:28:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,杨屋道上空有直升机盘旋。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,杨屋道,114.120383,22.365683,0,警方
2019-10-01 15:37:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,大河道有警员呼吁路过的市民进入麦当劳暂避。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,大河道,114.12179,22.367512,0,警方
2019-10-01 12:03:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,沙田集合地__公_路___，有市民_始聚集，_在球_地面_上__。,,https://www.hk01.com    （搜索：10.1新界__）,新界,沙田区,沙田_公_路___,114.120992,22.364231,0,市民
2019-10-01 20:45:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,（存疑） 沙咀道近_安街有三男发生口角及争执，有另一男子其后加入，在场指骂记者勿摄影，又手持长棍与在场戴口罩的市民对峙。该男子最后被人追打，手部流血，有急救员到场检查其伤口。 20:52 手持长棍被追打男子，被救护员抬上担架送上救护车。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,_安街,114.121894,22.367397,0,市民
2019-10-01 12:40:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,沙田_公_外，有___巡____旁停__，一度令部分聚集人士恐慌，有持咪人士_即宣布_始步行__翠田街足球_。,,https://www.hk01.com    （搜索：10.1新界__）,新界,沙田区,沙田_公_外,114.188957,22.371784,0,示威暴动者
2019-10-01 16:31:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,自称中枪的示威者，现由救护员送上救护车离开现场。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,大河道-祥兴记小笼包,114.18305,22.44717,0,警方
2019-10-01 12:37:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,沙田_公_已有_300人集合，有人_起在_外拜神，呼_在_人士拜神後一起前往__,,https://www.hk01.com    （搜索：10.1新界__）,新界,沙田区,沙田_公_,114.273724,22.314015,0,市民
2019-10-01 15:44:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,警员向海霸街雨伞阵示威者发射多枚催泪弹及橡胶子弹，市民（可能是示威者）后退海坝街离开。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,海霸街,114.090317,22.427401,0,示威暴动者
2019-10-01 13:23:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,屯_有_百名黑衣人，於下午_一_聚集於屯_政府合署，期_高叫「_有暴徒，只有暴政」等口_。,,https://www.hk01.com    （搜索：10.1新界__）,新界,屯门区,屯_政府合署,113.942515,22.313335,0,示威暴动者
2019-10-01 15:28:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,消防员进入被示威者破坏的中旅社。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,中旅社,114.161309,22.241086,0,警方
2019-10-01 15:43:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,众安街示威者突高呼「一人一块砖_上去」后，向警方防线_去，防暴警发射10发催泪弹。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,众安街,114.184961,22.302117,0,示威暴动者
2019-10-01 16:33:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,大河道的天桥上仍有部分黑衣人聚集，不时向桥下警员骂粗口。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,大河道,114.11884,22.368505,0,示威暴动者
2019-10-01 12:36:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,荃湾沙咀道球场有约20名黑初人士，警方检走至少8枝酒樽和少量布条。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,沙咀道球场,114.127697,22.349421,0,警方
2019-10-01 14:34:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,荃湾示威者前往立法会何君尧议员办事处，并破坏办事处。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,立法会何君尧议员办事处,114.173921,22.321966,0,示威暴动者
2019-10-01 15:37:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,众安街示威者燃点杂物作路障。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,众安街,114.121894,22.367397,0,示威暴动者
2019-10-01 15:56:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,示威者向警察扔燃烧弹，警方施放多枚催泪弹。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,海霸街,114.127697,22.349421,0,示威暴动者
2019-10-01 14:02:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,示威者于沙咀道游乐场尝试拆旗近20分钟，最终失败，该位置人群开始散去。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,沙咀道球场,114.168228,22.32174,0,示威暴动者
2019-10-01 15:49:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,警方在海霸街举黑旗。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,海霸街,114.166562,22.279676,0,警方
2019-10-01 17:00:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,示威者再向前_，并在海坝街交界与警对峙，双方距离约百米左右，防暴连番发射多枚催泪弹，示威者随即散去。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,大河道,114.163825,22.276284,0,示威暴动者
2019-10-01 15:46:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,示威者于杨屋道筑路障。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,杨屋道,114.120383,22.365683,0,示威暴动者
2019-10-01 14:20:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,防暴警察於沙田源禾路_育__旁戒_，_源禾路及沙田_事_路交界架_路障示威者不足一百米。,,https://www.hk01.com    （搜索：10.1新界__）,新界,沙田区,沙田源禾路_育_,114.202007,22.333328,0,警方
2019-10-01 17:30:00,2019.10.1【十一国殇】,【光复香港，时代革命】【五大诉求，缺一不可】【香港人加油】,,,2019-10-01 13:00:00,约30至40名防暴警在沙咀道近荃新天地位置戒备，近100名示威者则在沙咀道近圆墩围交界留守，双方已僵持约20分钟。,,https://www.hk01.com    （搜索：10.1新界__）,新界,荃湾区,沙咀道-接近荃新天地,114.241112,22.264943,0,示威暴动者
2019-10-11 13:00:57,中环快闪再集结,“香港人反抗”、“我有权戴口罩”、“光复香港，时代革命”,逾百人响应网上号召，在中环遮打花园发起“中环快闪再集结”集会，声援被警方于10月9日拘捕的示威者。警方指责其未获得不反对通知书，双方进行对峙，后警方散去，示威者之后离开遮打花园，经过德辅道等，后回到遮打花园散去。,https://zh.wikipedia.org/wiki/反_逃犯_例修_草案___程_(2019年10月)#午__段集_和抗_,2019-10-11 12:30:00,示威者走出遮打花园，沿德辅道中往西环方向行走。示威队伍曾一度占据多条行车线。其后转入域多利皇后街，沿干诺道中折返金钟方向前进，最终回到遮打花园散去，历时约45分钟[,1,https://zh.wikipedia.org/wiki/反_逃犯_例修_草案___程_(2019年10月)#午__段集_和抗_,香港岛,中西区,香港中环遮打花园,114.127697,22.349421,100,示威暴动者
2019-10-11 12:30:00,中环快闪再集结,“香港人反抗”、“我有权戴口罩”、“光复香港，时代革命”,逾百人响应网上号召，在中环遮打花园发起“中环快闪再集结”集会，声援被警方于10月9日拘捕的示威者。警方指责其未获得不反对通知书，双方进行对峙，后警方散去，示威者之后离开遮打花园，经过德辅道等，后回到遮打花园散去。,https://zh.wikipedia.org/wiki/反_逃犯_例修_草案___程_(2019年10月)#午__段集_和抗_,2019-10-11 12:30:00,警员一度举起黄旗警告，指集会人士正在参与非法集结及违反禁蒙面法。,1,https://zh.wikipedia.org/wiki/反_逃犯_例修_草案___程_(2019年10月)#午__段集_和抗_,香港岛,中西区,香港中环遮打花园,114.259359,22.303023,20,警方
2019-10-11 12:30:09,中环快闪再集结,“香港人反抗”、“我有权戴口罩”、“光复香港，时代革命”,逾百人响应网上号召，在中环遮打花园发起“中环快闪再集结”集会，声援被警方于10月9日拘捕的示威者。警方指责其未获得不反对通知书，双方进行对峙，后警方散去，示威者之后离开遮打花园，经过德辅道等，后回到遮打花园散去。,https://zh.wikipedia.org/wiki/反_逃犯_例修_草案___程_(2019年10月)#午__段集_和抗_,2019-10-11 12:30:00,逾百人响应网上号召，在中环遮打花园发起“中环快闪再集结”集会，声援被警方于10月9日拘捕的示威者。,1,https://zh.wikipedia.org/wiki/反_逃犯_例修_草案___程_(2019年10月)#午__段集_和抗_,香港岛,中西区,香港岛中环遮打花园,114.120383,22.365683,100,示威暴动者
2019-10-11 13:15:00,“多区商场大合唱”活动,“光复香港，时代革命””香港人反抗”,示威者于各区大型商场合唱《愿荣光归香港》、《不屈进行曲》等反修例歌曲,https://zh.wikipedia.org/wiki/反_逃犯_例修_草案___程_(2019年10月),2019-10-11 13:15:00,示威者在西洋菜街合唱《愿荣光归香港》、《不屈进行曲》等反修例歌曲。,1,https://zh.wikipedia.org/wiki/反_逃犯_例修_草案___程_(2019年10月),九龙半岛,油尖旺区,香港旺角西洋菜街,114.127697,22.349421,200,示威暴动者
2019-10-12 19:18:11,警总外静坐,香港人反抗”“没有暴徒，只有暴政”,有人在湾仔香港警察总部外发起静坐48小时行动，要求成立独立调查委员会，并抗议警方滥权，滥捕及滥暴。,https://zh.wikipedia.org/wiki/反_逃犯_例修_草案___程_(2019年10月),2019-10-12 14:00:00,示威者在湾仔香港警察总部外发起静坐48小时行动，要求成立独立调查委员会，并抗议警方滥权，滥捕及滥暴。示威者戴上口罩，举起“没有暴动只有暴政”、“孩子未来一同守护”的标语[159]。示威者不时叫起“香港人反抗”、“没有暴徒，只有暴政”等口号，及唱起《愿荣光归香港》。,1,https://zh.wikipedia.org/wiki/2019年香港#10月,香港岛,湾仔区,湾仔香港警察总部外,114.174508,22.243153,60,示威暴动者
2019-10-12 15:00:00,尖沙咀游行,香港人反抗 ”、“我有权戴口罩”,示威者发起“反紧急法游行”，于下午3时在尖沙嘴钟楼集合，游行至深水_运动场。,https://zh.wikipedia.org/wiki/反_逃犯_例修_草案___程_(2019年10月)#尖沙咀_行,2019-10-12 15:00:00,示威者于下午3时在尖沙嘴钟楼集合，游行至深水_运动场，游行于下午3时15分起步，沿途占据弥敦道多条行车线。大部分游行人士戴上口罩，沿途高叫“香港人反抗 ”、“我有权戴口罩”等口号。,1,https://zh.wikipedia.org/wiki/反_逃犯_例修_草案___程_(2019年10月）,九龙半岛,油尖旺区,香港尖沙咀钟楼,114.127697,22.349421,300,示威暴动者
2019-10-20 15:44:57,尖沙咀游行,香港人反抗 ”、“我有权戴口罩”,示威者发起“反紧急法游行”，于下午3时在尖沙嘴钟楼集合，游行至深水_运动场。,https://www.thestandnews.com/politics/不_更新-10-20-九__行-未出_警已__旗警告-尖沙咀-柯士甸站__/,2019-10-12 15:00:00,尖沙咀警署，警方再从高处发射多枚催泪弹，有人回掷汽油弹，尖沙咀警署闸门内起火。,4,https://zh.wikipedia.org/wiki/反_逃犯_例修_草案___程_(2019年10月）,九龙半岛,油尖旺区,香港特别行政区油尖旺区弥敦道213号九龙公园,114.17627,22.299911,300,示威暴动者
2019-11-13 07:00:35,“18区开花”行动,“香港人反抗 ”、“我有权戴口罩”,十八区开花是暴动者在各区发起的罢买日活动，后迅速演变为暴动，在各商场进行打砸抢，甚至对警方进行割喉的恶性暴动。,https://www.dwnews.com/香港/60156688/1113暴力示威再升级港铁车厢遭纵火图,2019-10-13 14:00:00,太古城中心、沙田新城市__、屯_ vcity、大埔超_城、_塘apm等多_商__始有示威者聚集，大多人戴上口罩，高呼「光_香港，_代革命」、「香港人反抗」等口_。 继11月11日和12日的“三罢”示威后，香港网民连续第三日发起“三罢”示威，13日开始的“晨曦行动”，呼吁全港“十八区开花”。行动于上午7时开始，并预料再度升级。其间，有多个车站、列车及铁路设施受到攻击及恶意破坏,2,https://zh.wikipedia.org/wiki/反_逃犯_例修_草案___程_(2019年10月),新界,沙田区,香港特别行政区沙田区新城市广场,114.193653,22.378913,0,示威暴动者
2019-11-13 07:00:00,“18区开花”行动,“香港人反抗 ”、“我有权戴口罩”,十八区开花是暴动者在各区发起的罢买日活动，后迅速演变为暴动，在各商场进行打砸抢，甚至对警方进行割喉的恶性暴动。,https://www.thestandnews.com/politics/不_更新-18-_再_花-示威者聚集多_商_-旺角荃_大埔多人被捕/ https://www.dwnews.com/香港/60156688/1113暴力示威再升级港铁车厢遭纵火图,2019-10-13 14:00:00,太古城中心、沙田新城市__、屯_ vcity、大埔超_城、_塘apm等多_商__始有示威者聚集，大多人戴上口罩，高呼「光_香港，_代革命」、「香港人反抗」等口_。 继11月11日和12日的“三罢”示威后，香港网民连续第三日发起“三罢”示威，13日开始的“晨曦行动”，呼吁全港“十八区开花”。行动于上午7时开始，并预料再度升级。其间，有多个车站、列车及铁路设施受到攻击及恶意破坏。,2,https://zh.wikipedia.org/wiki/反_逃犯_例修_草案___程_(2019年10月),香港岛,东区,香港特别行政区东区太古城中心,114.19244,22.376718,500,示威暴动者
2019-11-13 07:00:33,“18区开花”行动,“香港人反抗 ”、“我有权戴口罩”,十八区开花是暴动者在各区发起的罢买日活动，后迅速演变为暴动，在各商场进行打砸抢，甚至对警方进行割喉的恶性暴动。,https://www.dwnews.com/香港/60156688/1113暴力示威再升级港铁车厢遭纵火图,2019-10-13 14:00:00,太古城中心、沙田新城市__、屯_ vcity、大埔超_城、_塘apm等多_商__始有示威者聚集，大多人戴上口罩，高呼「光_香港，_代革命」、「香港人反抗」等口_。 继11月11日和12日的“三罢”示威后，香港网民连续第三日发起“三罢”示威，13日开始的“晨曦行动”，呼吁全港“十八区开花”。行动于上午7时开始，并预料再度升级。其间，有多个车站、列车及铁路设施受到攻击及恶意破坏。,2,https://zh.wikipedia.org/wiki/反_逃犯_例修_草案___程_(2019年10月),新界,大埔区,香港特别行政区大埔区大埔中心,114.153965,22.285126,0,示威暴动者
2019-10-13 14:40:00,“18区开花”行动,“香港人反抗 ”、“我有权戴口罩”,十八区开花是暴动者在各区发起的罢买日活动，后迅速演变为暴动，在各商场进行打砸抢，甚至对警方进行割喉的恶性暴动。,https://www.thestandnews.com/politics/不_更新-18-_再_花-示威者聚集多_商_-旺角荃_大埔多人被捕/,2019-10-13 14:00:00,警方亦于荃湾路德围拘捕一男子。,3,https://zh.wikipedia.org/wiki/反_逃犯_例修_草案___程_(2019年10月),新界,荃湾区,香港荃湾荃湾路,114.163825,22.276284,20,警方
2019-11-13 07:00:46,“18区开花”行动,“香港人反抗 ”、“我有权戴口罩”,十八区开花是暴动者在各区发起的罢买日活动，后迅速演变为暴动，在各商场进行打砸抢，甚至对警方进行割喉的恶性暴动。,https://www.dwnews.com/香港/60156688/1113暴力示威再升级港铁车厢遭纵火图,2019-10-13 14:00:00,太古城中心、沙田新城市__、屯_ vcity、大埔超_城、_塘apm等多_商__始有示威者聚集，大多人戴上口罩，高呼「光_香港，_代革命」、「香港人反抗」等口_。  继11月11日和12日的“三罢”示威后，香港网民连续第三日发起“三罢”示威，13日开始的“晨曦行动”，呼吁全港“十八区开花”。行动于上午7时开始，并预料再度升级。其间，有多个车站、列车及铁路设施受到攻击及恶意破坏。,2,https://zh.wikipedia.org/wiki/反_逃犯_例修_草案___程_(2019年10月),九龙半岛,观塘区,香港特别行政区观塘区创纪之城5期APM,114.121894,22.367397,0,示威暴动者
2019-10-13 15:38:49,“18区开花”行动,“香港人反抗 ”、“我有权戴口罩”,十八区开花是暴动者在各区发起的罢买日活动，后迅速演变为暴动，在各商场进行打砸抢，甚至对警方进行割喉的恶性暴动。,https://www.thestandnews.com/politics/18__花-警方拘捕多人-警_被人用利器插_-疑似__警__澳拉人/,2019-10-13 14:00:00,警员下午于港铁观塘站外，被人以利器割伤后颈，须送院治理。,4,https://zh.wikipedia.org/wiki/反_逃犯_例修_草案___程_(2019年10月),九龙半岛,观塘区,香港钢铁观塘站,114.127697,22.349421,100,示威暴动者
2019-10-13 13:00:00,“18区开花”行动,“香港人反抗 ”、“我有权戴口罩”,十八区开花是暴动者在各区发起的罢买日活动，后迅速演变为暴动，在各商场进行打砸抢，甚至对警方进行割喉的恶性暴动。,https://www.thestandnews.com/politics/不_更新-18-_再_花-示威者聚集多_商_-旺角荃_大埔多人被捕/,2019-10-13 14:00:00,将军澳有示威者以单车等杂物设置路障。,2,https://zh.wikipedia.org/wiki/反_逃犯_例修_草案___程_(2019年10月),新界,西贡区,香港特别行政区西贡区宝林村,114.259201,22.322803,150,示威暴动者
2019-10-13 19:40:00,“18区开花”行动,“香港人反抗 ”、“我有权戴口罩”,十八区开花是暴动者在各区发起的罢买日活动，后迅速演变为暴动，在各商场进行打砸抢，甚至对警方进行割喉的恶性暴动。,https://www.thestandnews.com/politics/18__花-警方拘捕多人-警_被人用利器插_-疑似__警__澳拉人/,2019-10-13 14:00:00,将军澳有一名男子被质疑是乔装警遭围殴，头破血流；之后有示威者展示受袭者身上的物品，包括一枝伸缩棍。示威者其后将伸缩警棍掉入附近的坑渠，防暴警到场后，尝试拾回警棍，被围殴男子最后由救护车送院。,3,https://zh.wikipedia.org/wiki/反_逃犯_例修_草案___程_(2019年10月),新界,西贡区,香港特别行政区西贡区宝林村,114.259201,22.322803,80,示威暴动者
